file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\client\protocol\RedisCommands.java,org.redisson.client.protocol.RedisCommands$Anonymous22,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\iterator\RedissonMapIterator.java,org.redisson.iterator.RedissonMapIterator,class,6,7,1,6,4,3,0,5,0,0.33333334,0.0,0.0,4,0,1,0,3,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,2,0,0,0,0,0,0,3,0,3,0,0,0,0,21,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\rx\CommandRxBatchService.java,org.redisson.rx.CommandRxBatchService$Anonymous1,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,10,1,0,0,0,0,0,0,2,0,2,1,0,0,0,7,-1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\RBatch.java,org.redisson.api.RBatch,interface,34,35,1,34,62,1,0,0,1891,0.0,0.0,0.0,62,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\codec\SnappyCodec.java,org.redisson.codec.SnappyCodec,class,9,10,1,9,7,2,0,4,11,0.8095238,0.0,0.0,7,0,7,0,0,0,7,0,0,0,6,3,0,5,0,1,6,0,1,81,3,0,0,0,0,1,0,6,0,6,0,4,0,0,42,1,1
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\RedissonTransferQueue.java,org.redisson.RedissonTransferQueue$TransferQueueServiceImpl,innerclass,2,2,0,2,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,9,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\reactive\RedissonSetMultimapCacheReactive.java,org.redisson.reactive.RedissonSetMultimapCacheReactive,class,9,11,2,9,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,1,14,1,0,0,0,0,0,0,4,0,4,0,0,0,0,20,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\reactive\SetReactiveIterator.java,org.redisson.reactive.SetReactiveIterator$Anonymous1,anonymous,4,4,0,4,2,1,0,2,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\misc\Tuple.java,org.redisson.misc.Tuple,class,3,6,3,3,8,1,0,3,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,3,23,6,0,3,0,0,0,0,3,0,3,1,0,0,0,18,17,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\client\protocol\RedisCommands.java,org.redisson.client.protocol.RedisCommands$Anonymous16,anonymous,4,4,0,4,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,1,0,0,0,8,8,0,8,1,0,0,0,14,-1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\pubsub\PublishSubscribeService.java,org.redisson.pubsub.PublishSubscribeService$Anonymous5,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,2,0,0,0,1,0,0,0,8,-1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\RSetCacheReactive.java,org.redisson.api.RSetCacheReactive,interface,9,12,3,9,21,1,0,0,210,0.0,0.0,0.0,21,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1,0
